user_id,answer_type,correct_sum,total_questions
78901,Problem-Solving,129,249
78984,Strategic Reasoning,2,4
82431,Knowledge-Based,23,23
78452,Knowledge-Based,8,15
88182,Problem-Solving,1,2
89375,Problem-Solving,5,5
80733,Problem-Solving,0,1
79747,Problem-Solving,22,42
96211,Strategic Reasoning,6,10
91308,Knowledge-Based,3,3
80093,Problem-Solving,1,8
79184,Knowledge-Based,7,11
96218,Problem-Solving,99,147
78417,Knowledge-Based,11,17
88148,Problem-Solving,0,3
78586,Knowledge-Based,2,19
82494,Knowledge-Based,20,20
79661,Knowledge-Based,58,72
81742,Knowledge-Based,13,13
85276,Problem-Solving,5,14
78098,Problem-Solving,7,17
81665,Knowledge-Based,11,16
78517,Problem-Solving,226,307
80677,Knowledge-Based,91,94
80747,Problem-Solving,11,19
91647,Knowledge-Based,6,8
79413,Problem-Solving,3,4
78992,Strategic Reasoning,2,4
79501,Strategic Reasoning,7,13
89644,Knowledge-Based,6,8
79544,Knowledge-Based,209,217
84476,Problem-Solving,1,3
79606,Strategic Reasoning,1,5
78239,Problem-Solving,1,7
84495,Knowledge-Based,2,8
96211,Problem-Solving,102,150
80019,Problem-Solving,6,8
78169,Knowledge-Based,4,10
78992,Problem-Solving,64,108
81142,Problem-Solving,6,7
82508,Problem-Solving,3,4
82471,Knowledge-Based,23,23
84392,Knowledge-Based,26,31
91243,Knowledge-Based,4,4
90027,Knowledge-Based,0,1
82140,Knowledge-Based,48,58
80676,Problem-Solving,12,19
79251,Problem-Solving,12,17
82628,Knowledge-Based,23,23
87720,Problem-Solving,1,1
78212,Problem-Solving,4,12
81031,Problem-Solving,0,2
82587,Problem-Solving,1,3
82151,Knowledge-Based,4,7
84738,Knowledge-Based,26,31
78395,Problem-Solving,3,12
78783,Knowledge-Based,29,31
91732,Knowledge-Based,5,8
88250,Knowledge-Based,3,7
81672,Knowledge-Based,14,14
82456,Problem-Solving,3,4
91441,Problem-Solving,3,3
84749,Problem-Solving,2,4
80161,Knowledge-Based,16,26
81160,Problem-Solving,0,7
81692,Knowledge-Based,14,14
71413,Problem-Solving,8,11
84852,Knowledge-Based,4,8
79066,Strategic Reasoning,4,10
96273,Knowledge-Based,68,78
96253,Strategic Reasoning,0,4
80730,Knowledge-Based,27,32
79574,Knowledge-Based,76,81
82582,Problem-Solving,3,4
79492,Problem-Solving,6,8
82426,Problem-Solving,3,4
79189,Knowledge-Based,5,8
78990,Strategic Reasoning,0,4
81147,Problem-Solving,3,7
76671,Knowledge-Based,1,8
79507,Knowledge-Based,240,247
70734,Problem-Solving,21,29
71557,Knowledge-Based,5,5
81155,Problem-Solving,1,7
79663,Problem-Solving,4,53
84501,Problem-Solving,0,3
78412,Knowledge-Based,5,16
79534,Knowledge-Based,202,216
71881,Knowledge-Based,25,39
84408,Knowledge-Based,22,30
85277,Problem-Solving,3,13
78985,Strategic Reasoning,1,4
82587,Knowledge-Based,23,23
79066,Problem-Solving,99,150
78909,Knowledge-Based,233,243
76868,Knowledge-Based,74,77
80213,Problem-Solving,8,8
78276,Problem-Solving,3,9
79475,Problem-Solving,34,107
81604,Problem-Solving,11,29
78566,Problem-Solving,189,303
78173,Knowledge-Based,9,17
79543,Strategic Reasoning,5,13
80701,Problem-Solving,0,1
71209,Knowledge-Based,4,8
79195,Problem-Solving,11,16
78132,Problem-Solving,1,7
71292,Problem-Solving,7,11
70752,Problem-Solving,32,37
96252,Knowledge-Based,76,78
96269,Knowledge-Based,71,78
82494,Problem-Solving,0,4
78110,Problem-Solving,0,3
78512,Knowledge-Based,12,26
84978,Knowledge-Based,6,8
96223,Knowledge-Based,176,233
81110,Problem-Solving,3,7
84945,Problem-Solving,11,17
77888,Problem-Solving,16,20
78504,Problem-Solving,115,258
81696,Knowledge-Based,14,14
96246,Strategic Reasoning,0,4
79058,Problem-Solving,104,151
78423,Problem-Solving,3,8
82143,Knowledge-Based,6,10
84942,Knowledge-Based,7,8
88195,Problem-Solving,3,4
71883,Problem-Solving,3,29
80022,Knowledge-Based,10,10
82781,Knowledge-Based,4,6
82436,Knowledge-Based,23,23
79858,Knowledge-Based,6,13
74964,Problem-Solving,0,1
88089,Problem-Solving,2,2
79747,Knowledge-Based,118,128
78585,Problem-Solving,124,244
88202,Problem-Solving,2,4
78495,Problem-Solving,86,213
71152,Knowledge-Based,2,2
85295,Problem-Solving,2,4
84531,Knowledge-Based,5,8
88158,Knowledge-Based,1,1
89369,Problem-Solving,5,5
85721,Problem-Solving,13,33
80108,Problem-Solving,10,24
79453,Problem-Solving,8,45
78131,Problem-Solving,1,5
84461,Problem-Solving,7,15
80713,Problem-Solving,0,1
91596,Problem-Solving,1,2
79543,Knowledge-Based,224,247
82511,Knowledge-Based,23,23
80709,Problem-Solving,0,1
88433,Knowledge-Based,1,2
89213,Problem-Solving,2,2
96245,Problem-Solving,19,45
83169,Problem-Solving,7,21
81663,Knowledge-Based,27,32
79621,Strategic Reasoning,2,4
80160,Knowledge-Based,23,26
78393,Knowledge-Based,25,26
82475,Problem-Solving,4,4
96231,Knowledge-Based,239,268
78102,Problem-Solving,1,10
84502,Problem-Solving,4,6
78448,Knowledge-Based,3,10
71151,Problem-Solving,0,1
78501,Problem-Solving,98,259
79509,Knowledge-Based,232,255
78550,Knowledge-Based,20,32
79034,Problem-Solving,35,69
71563,Knowledge-Based,5,5
88231,Problem-Solving,3,4
89669,Knowledge-Based,7,10
78705,Knowledge-Based,3,10
79184,Problem-Solving,8,19
78559,Problem-Solving,169,303
96228,Knowledge-Based,258,272
78900,Knowledge-Based,1,14
78912,Knowledge-Based,259,271
